feature,importance
draft_pick_log,0.09726246881186741
draft_pick_sqrt_inverse,0.09724123544483064
draft_pick_inverse,0.09591349800726053
OVERALL_PICK,0.09510113357403492
career_avg_receptions,0.04721961521832552
career_max_route_rate,0.04674567070931814
career_avg_avoided_tackles,0.0460566732383907
career_avg_grades_pass_route,0.046030956352909214
career_sum_yards_after_catch,0.045342308782686205
career_avg_yards,0.04361642353130265
career_avg_routes,0.04119512851239612
career_avg_targeted_qb_rating,0.039536877210264366
career_sum_yards,0.03822752397898578
draft_pick_bucket_ordinal,0.03686799593893024
career_max_avoided_tackles,0.03423956653082987
career_avg_yards_after_catch,0.03374066286271977
career_max_yprr,0.03327291080245135
career_avg_grades_offense,0.03287010491622817
career_avg_touchdowns,0.027224936558631844
is_top100_pick,0.022294309017636637
