"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"180","Keelan Doss (FA)","6","13","33","5.5","9","0","0","0","0","0","0","5","6.3","1.3","0.0%"
"181","Britain Covey (PHI)","4","6","42","10.5","22","1","0","0","0","0","0","16","6.2","0.4","0.1%"
"182","Elijah Cooks (PHI)","3","4","38","12.7","23","1","0","0","0","0","0","9","5.3","0.6","0.0%"
"183","Devin Duvernay (JAC)","4","9","18","4.5","10","0","0","4","15","0","0","13","5.3","0.4","0.2%"
"184","Michael Strachan (WAS)","1","3","45","45.0","45","1","0","0","0","0","0","4","5.0","1.3","0.0%"
"185","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","4.4","0.7","3.6%"
"186","Steven Sims Jr. (BAL)","3","3","25","8.3","23","1","0","1","1","0","0","3","4.1","1.4","0.0%"
"187","Marvin Jones Jr. (FA)","5","10","35","7.0","16","0","0","0","0","0","1","6","4.0","0.7","0.0%"
"188","Trishton Jackson (ARI)","2","4","9","4.5","7","0","0","0","0","0","0","6","3.9","0.7","0.0%"
"189","Zach Pascal (ARI)","4","15","19","4.8","9","0","0","0","0","0","0","14","3.9","0.3","0.0%"
"190","Miles Boykin (FA)","3","4","17","5.7","6","0","0","0","0","0","0","16","3.2","0.2","0.0%"
"191","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","2.9","0.6","7.2%"
"192","Austin Trammell (JAC)","4","7","29","7.3","14","0","0","0","0","0","1","15","2.9","0.2","0.0%"
"193","Gunner Olszewski (NYG)","1","1","0","0.0","0","0","0","0","0","0","2","12","2.5","0.2","0.0%"
"194","Willie Snead IV (FA)","2","3","14","7.0","9","0","0","0","0","0","0","4","2.4","0.6","0.0%"
"195","Malik Taylor (NYJ)","2","4","13","6.5","7","0","0","0","0","0","0","3","2.3","0.8","0.0%"
"196","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","5","22","0","0","2","2.2","1.1","0.0%"
"197","Laquon Treadwell (IND)","1","3","16","16.0","16","0","0","0","0","0","0","4","2.1","0.5","0.0%"
"198","Collin Johnson (CHI)","1","1","11","11.0","11","0","0","0","0","0","0","3","1.6","0.5","0.0%"
"199","Cody Thompson (TB)","1","1","10","10.0","10","0","0","0","0","0","0","6","1.5","0.3","0.0%"
"200","Mason Kinsey (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","6","1.1","0.2","0.0%"
"201","Colton Dowell (TEN)","1","2","3","3.0","3","0","0","0","0","0","0","9","0.8","0.1","0.0%"
"202","Antoine Green (DET)","1","2","2","2.0","2","0","0","0","0","0","0","9","0.7","0.1","0.0%"
"203","Kwamie Lassiter II (FA)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"204","Dee Eskridge (MIA)","0","1","0","0","0","0","0","2","5","0","0","4","0.5","0.1","0.0%"
"205","Dax Milne (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
