"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Antonio Brown (FA)","136","193","1,834","13.5","59","14","10","3","28","0","2","16","314.2","19.6","1.0%"
"2","Julio Jones (FA)","136","203","1,871","13.8","70","15","8","0","0","0","1","16","301.1","18.8","1.0%"
"3","Brandon Marshall (FA)","109","173","1,502","13.8","69","12","14","0","0","0","2","16","284.7","17.8","2.6%"
"4","DeAndre Hopkins (KC)","111","192","1,521","13.7","61","15","11","0","0","0","0","16","275.6","17.2","70.1%"
"5","Odell Beckham Jr. (FA)","96","158","1,450","15.1","87","6","13","1","3","0","0","15","271.3","18.1","1.8%"
"6","Allen Robinson II (DET)","80","151","1,400","17.5","90","18","14","0","0","0","0","16","264.0","16.5","0.1%"
"7","A.J. Green (FA)","86","132","1,297","15.1","80","9","10","0","0","0","1","16","230.7","14.4","1.0%"
"8","Doug Baldwin (FA)","78","103","1,069","13.7","80","9","14","0","0","0","0","16","229.9","14.4","0.0%"
"9","Larry Fitzgerald (FA)","109","145","1,215","11.1","44","16","9","0","0","0","2","16","226.0","14.1","0.9%"
"10","Calvin Johnson (FA)","88","149","1,214","13.8","57","9","9","0","0","0","1","16","217.4","13.6","0.1%"
"11","Demaryius Thomas (FA)","105","177","1,304","12.4","72","7","6","0","0","0","2","16","214.9","13.4","0.1%"
"12","Jarvis Landry (FA)","110","166","1,157","10.5","50","6","4","18","113","1","0","16","214.4","13.4","7.1%"
"13","Eric Decker (FA)","80","132","1,027","12.8","35","14","12","0","0","0","1","15","212.7","14.2","0.6%"
"14","Brandin Cooks (DAL)","84","129","1,138","13.5","71","11","9","8","18","0","0","16","211.6","13.2","14.6%"
"15","Jeremy Maclin (FA)","87","124","1,088","12.5","61","5","8","3","14","0","1","15","199.7","13.3","0.0%"
"16","Allen Hurns (FA)","64","105","1,031","16.1","80","14","10","0","0","0","1","15","193.1","12.9","0.0%"
"17","Sammy Watkins (FA)","60","96","1,047","17.5","63","7","9","1","1","0","0","13","188.8","14.5","0.0%"
"18","Michael Crabtree (FA)","85","146","922","10.8","38","11","9","0","0","0","0","16","188.7","11.8","0.0%"
"19","Jordan Matthews (CAR)","85","128","997","11.7","78","7","8","0","0","0","1","16","188.2","11.8","0.0%"
"20","Emmanuel Sanders (FA)","76","137","1,135","14.9","75","3","6","3","29","0","2","15","186.4","12.4","0.0%"
"21","T.Y. Hilton (FA)","69","134","1,124","16.3","87","8","5","0","0","0","0","16","176.9","11.1","1.6%"
"22","Amari Cooper (BUF)","72","130","1,070","14.9","68","8","6","3","-3","0","1","16","176.7","11.0","71.3%"
