Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Isaiah McKenzie,WR,Georgia,"5'7""",173,,,,4.42,,36,"10'3""",11,6.64,4.15
Jalen Robinette,WR,Air Force,"6'3""",220,10.88,32.38,,4.62,,31.5,"10'0""",13,6.77,4.46
Jamari Staples,WR,Louisville,"6'3""",195,9.5,33.5,,4.51,,36,"10'10""",,,
James Quick,WR,Louisville,"6'0""",186,9,30.75,,4.6,,31,"9'7""",11,7,4.39
Jehu Chesson,WR,Michigan,"6'3""",204,9.13,33.25,,4.47,,35.5,"11'0""",10,6.7,4.09
Jerome Lane,WR,Akron,"6'2""",226,9.75,31.5,,4.6,,35,"10'5""",16,6.87,4.12
Jesus Wilson,WR,Florida State,"5'9""",189,,,,4.57,,,"9'11""",10,,4.57
John Ross,WR,Washington,"5'11""",188,8.75,31.5,,4.22,,37,"11'1""",,,
Josh Malone,WR,Tennessee,"6'3""",208,9.63,31.38,,4.4,,30.5,"10'1""",10,7.05,4.19
Josh Reynolds,WR,Texas A&M,"6'3""",194,9.38,31.5,,4.52,,37,"10'4""",,6.83,4.13
JuJu Smith-Schuster,WR,USC,"6'1""",215,10.5,32.88,,4.54,,32.5,"10'0""",15,,
K.D. Cannon,WR,Baylor,"5'11""",182,,,,4.41,,37,"9'11""",13,,
Keevan Lucas,WR,Tulsa,"5'9""",192,9.88,31.88,,4.55,,32.5,"9'11""",11,7.23,4.43
Kendrick Bourne,WR,East. Washington,"6'1""",203,9.13,32.5,,4.68,,34,"10'5""",9,6.73,4.21
Kenny Golladay,WR,Northern Illinois,"6'4""",218,9.75,32,,4.5,,35.5,"10'0""",18,7,4.15
Keon Hatcher,WR,Arkansas,"6'1""",212,9.5,32,,4.64,,,,16,,
Kermit Whitfield,WR,Florida State,"5'8""",185,,,,4.44,,32.5,"10'0""",8,7.17,4.37
Mack Hollins,WR,North Carolina,"6'4""",221,9.75,33.25,,4.53,,,,,,
Malachi Dupre,WR,LSU,"6'2""",196,9,31.5,,4.52,,39.5,"11'3""",11,7.19,4.26
Michael Rector,WR,Stanford,"6'0""",193,9.25,32.5,,4.42,,36.5,"10'9""",,6.77,4.19
Mike Williams,WR,Clemson,"6'4""",218,9.38,33.38,,,,32.5,"10'1""",15,,
Noah Brown,WR,Ohio State,"6'2""",222,9.13,31.75,,,,,,19,7.07,4.33
Noel Thomas,WR,Connecticut,"6'0""",205,8.75,30,,4.63,,32.5,"9'10""",9,,
Quincy Adeboyejo,WR,Mississippi,"6'3""",197,9.38,31.75,,4.42,,34.5,"10'3""",8,6.73,4.14
Ricky Seals-Jones,WR,Texas A&M,"6'5""",243,9.63,33.13,,4.69,,28,"10'1""",17,7.46,4.33
Robert Davis,WR,Georgia State,"6'3""",219,9.63,33,,4.44,,41,"11'4""",19,6.82,4.28
Rodney Adams,WR,South Florida,"6'1""",189,9,32,,4.44,,29.5,"10'5""",8,6.98,4.28
Ryan Switzer,WR,North Carolina,"5'8""",181,9.25,28,,4.51,,32,"9'8""",11,6.77,4
Shelton Gibson,WR,West Virginia,"5'11""",191,8.88,32,,4.5,,32,"9'10""",8,6.83,4.2
Speedy Noil,WR,Texas A&M,"5'11""",199,9.25,30,,,,43.5,"11'1""",18,,
Stacy Coley,WR,Miami (FL),"6'1""",195,9.75,32.25,,4.45,,34,"10'2""",10,,
Taywan Taylor,WR,Western Kentucky,"5'11""",203,9.25,32.63,,4.5,,33.5,"11'0""",13,6.57,4.21
Travin Dural,WR,LSU,"6'1""",202,9,32,,4.57,,30.5,"9'8""",,7.29,4.55
Travis Rudolph,WR,Florida State,"6'0""",189,9.25,31.88,,4.65,,31.5,"9'6""",12,6.93,4.46
Trent Taylor,WR,Louisiana Tech,"5'8""",181,8.25,28.75,,4.63,,33,"9'9""",13,6.74,4.01
Victor Bolden Jr.,WR,Oregon State,"5'8""",178,9,31.13,,4.54,,32,"9'9""",9,6.83,4.22
Zach Pascal,WR,Old Dominion,"6'2""",219,10,32,,4.55,,36,"10'6""",14,7.11,4.29
Zay Jones,WR,East Carolina,"6'2""",201,9,32.5,,4.45,,36.5,"11'1""",15,6.79,4.01
