Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Amara Darboh,WR,Michigan,"6'2""",214,9.88,32.63,,4.45,,36,"10'4""",17,,
Amba Etta-Tawo,WR,Syracuse,"6'1""",208,9.13,32,,4.49,,31,"10'6""",14,6.95,4.32
ArDarius Stewart,WR,Alabama,"5'11""",204,9.38,32.5,,4.49,,34,"10'4""",,,
Artavis Scott,WR,Clemson,"5'10""",193,9.38,31,,4.61,,31,"9'8""",13,7.19,4.49
Bug Howard,WR,North Carolina,"6'4""",221,10.38,33.13,,4.58,,37.5,"9'11""",,6.95,4.14
Carlos Henderson,WR,Louisiana Tech,"5'11""",199,9.13,31.38,,4.46,,36,"10'11""",13,7.18,4.35
Chad Hansen,WR,California,"6'2""",202,10.13,32.13,,4.53,,35,"9'11""",11,6.74,4.13
Chris Godwin,WR,Penn State,"6'1""",209,,,,4.42,,36,"10'6""",19,7.01,4
Cooper Kupp,WR,East. Washington,"6'2""",204,9.5,31.5,,4.62,,31,"9'8""",,6.75,4.08
Corey Davis,WR,West. Michigan,"6'3""",209,9.13,33,,,,,,,,
Curtis Samuel,WR,Ohio State,"5'11""",196,9.5,31.25,,4.31,,37,"9'11""",18,7.09,4.33
Darreus Rogers,WR,USC,"6'1""",216,10.13,32,,,,26.5,"9'4""",8,7.22,4.54
Dede Westbrook,WR,Oklahoma,"6'0""",178,,,,,,,,,,
Drew Morgan,WR,Arkansas,"6'0""",190,9.5,30.38,,4.74,,30,"9'4""",10,6.85,4.12
Fred Ross,WR,Mississippi State,"6'1""",213,9.25,31.25,,4.51,,35,"9'5""",10,6.99,4.28
Gabe Marks,WR,Washington State,"5'11""",189,8.75,30.38,,4.56,,29.5,"9'9""",11,7.01,4.2
Greg Ward Jr.,WR,Houston,"5'11""",186,,,,,,,,10,,
Isaiah Ford,WR,Virginia Tech,"6'1""",194,9.25,32.63,,4.61,,35.5,"10'7""",14,6.94,4.34
