Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
A.T. Perry,WR,Wake Forest,"6'4""",198,,,,4.47,,35,"11'1""",,,
Andrei Iosivas,WR,Princeton,"6'3""",205,,,,4.43,,39,"10'8""",19,6.85,4.12
Antoine Green,WR,North Carolina,"6'2""",199,,,,4.47,,33.5,"10'3""",,6.99,4.27
Bryce Ford-Wheaton,WR,West Virginia,"6'4""",221,,,,4.38,,41,"10'9""",,6.97,4.15
Cedric Tillman,WR,Tennessee,"6'3""",213,,,,4.54,,37,"10'8""",,,
Charlie Jones,WR,Purdue,"5'11""",175,,,,4.43,,36.5,"10'4""",13,,
CJ Johnson,WR,East Carolina,"6'2""",224,,,,,,,,,,
Demario Douglas,WR,Liberty,"5'8""",179,,,,4.44,,39.5,"11'2""",,,4.29
Derius Davis,WR,TCU,"5'8""",165,,,,4.36,,,,,,4.38
Dontay Demus Jr.,WR,Maryland,"6'3""",212,,,,4.57,,35.5,"10'3""",,,4.39
Dontayvion Wicks,WR,Virginia,"6'1""",206,,,,4.62,,39,"10'10""",,,
Elijah Higgins,WR,Stanford,"6'3""",235,,,,4.54,,35,"10'6""",,7.01,
Grant DuBose,WR,Charlotte,"6'2""",201,,,,4.57,,35,"10'5""",,6.89,4.32
Jacob Copeland,WR,Maryland,"5'11""",201,,,,4.42,,33,"10'7""",20,7.01,4.47
Jadon Haselwood,WR,Arkansas,"6'2""",215,,,,4.66,,37,"10'3""",,6.98,4.31
Jake Bobo,WR,UCLA,"6'4""",206,,,,,,,,,,
Jalen Brooks,WR,South Carolina,"6'1""",201,,,,4.69,,35,"10'10""",,7.15,4.31
Jalen Moreno-Cropper,WR,Fresno St.,"5'11""",172,,,,4.4,,,"10'1""",,,
Jalen Wayne,WR,South Alabama,"6'2""",210,,,,4.51,,34.5,"10'4""",,,
Jalin Hyatt,WR,Tennessee,"6'0""",176,,,,4.4,,40,"11'3""",,,
Jaray Jenkins,WR,LSU,"6'2""",204,,,,4.6,,29.5,,20,,
Jason Brownlee,WR,Southern Mississippi,"6'2""",198,,,,4.59,,39.5,"10'11""",16,,
Jaxon Smith-Njigba,WR,Ohio St.,"6'1""",196,,,,,,35,"10'5""",,6.57,3.93
Jayden Reed,WR,Michigan St.,"5'11""",187,,,,4.45,,33.5,"10'1""",,,4.29
Jonathan Mingo,WR,Mississippi,"6'2""",220,,,,4.46,,39.5,"10'9""",22,,
Jordan Addison,WR,USC,"5'11""",173,,,,4.49,,34,"10'2""",,,
Joseph Ngata,WR,Clemson,"6'3""",217,,,,4.54,,34.5,"10'4""",,,
Josh Downs,WR,North Carolina,"5'9""",171,,,,4.48,,38.5,"10'11""",,,
Justin Shorter,WR,Florida,"6'4""",229,,,,4.55,,35.5,"10'6""",18,,
Kayshon Boutte,WR,LSU,"5'11""",195,,,,4.5,,29,"9'10""",,,4.25
Kearis Jackson,WR,Georgia,"5'11""",196,,,,4.55,,,"10'6""",,,
Malik Heath,WR,Mississippi,"6'2""",213,,,,4.64,,34,"10'4""",,6.96,4.46
Malik Knowles,WR,Kansas St.,"6'2""",196,,,,,,,,,,
Marvin Mims,WR,Oklahoma,"5'11""",183,,,,4.38,,39.5,"10'9""",,6.9,
Matt Landers,WR,Arkansas,"6'4""",200,,,,4.37,,37,"10'10""",,,
Michael Jefferson,WR,Louisiana,"6'4""",199,,,,4.56,,37,"11'1""",16,7.03,4.56
Michael Wilson,WR,Stanford,"6'2""",213,,,,4.58,,37.5,"10'5""",23,,4.27
Mitchell Tinsley,WR,Penn St.,"6'0""",199,,,,4.6,,35.5,"10'0""",14,,4.21
Nathaniel Dell,WR,Houston,"5'8""",165,,,,4.49,,,"10'1""",,,
Parker Washington,WR,Penn St.,"5'10""",204,,,,,,,,16,,
Puka Nacua,WR,BYU,"6'2""",201,,,,,,,,,,
Quentin Johnston,WR,TCU,"6'3""",208,,,,,,40.5,"11'2""",,,
Rakim Jarrett,WR,Maryland,"6'0""",192,,,,4.44,,35.5,"10'3""",13,,
Rashee Rice,WR,SMU,"6'1""",204,,,,4.51,,41,"10'8""",,,
Ronnie Bell,WR,Michigan,"6'0""",191,,,,4.54,,38.5,"10'0""",14,6.98,4.15
Tre Tucker,WR,Cincinnati,"5'9""",182,,,,4.4,,37.5,"10'4""",,,
Trey Palmer,WR,Nebraska,"6'0""",192,,,,4.33,,,,,,
Tyler Scott,WR,Cincinnati,"5'10""",177,,,,4.44,,39.5,"11'1""",,,
Xavier Hutchinson,WR,Iowa St.,"6'2""",203,,,,4.53,,36,"9'8""",,6.91,4.35
Zay Flowers,WR,Boston Col.,"5'9""",182,,,,4.42,,35.5,"10'7""",,,
