Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Aaron Burbridge,WR,Michigan State,"6'0""",206,8.25,31.63,,4.56,,30.5,"9'7""",20,7.22,4.31
Alonzo Russell,WR,Toledo,"6'4""",206,9.5,33.88,,4.54,,29.5,"9'4""",12,7.18,4.33
Bralon Addison,WR,Oregon,"5'9""",197,9.13,29.5,,4.66,,34.5,"9'8""",13,6.95,4.14
Braxton Miller,WR,Ohio State,"6'1""",201,9.13,31.75,,4.5,,35,"10'3""",17,6.65,4.07
Byron Marshall,WR,Oregon,"5'9""",201,9.5,30.25,,4.42,,,,17,,
Cayleb Jones,WR,Arizona,"6'3""",209,9.25,32.75,,4.65,,33.5,,9,6.99,4.14
Charone Peake,WR,Clemson,"6'2""",209,9.25,34,,4.45,,35.5,"10'2""",12,6.96,4.46
Chris Brown,WR,Notre Dame,"6'2""",194,9,32.25,,4.48,,,,,,
Chris Moore,WR,Cincinnati,"6'1""",206,9.38,33.38,,4.53,,37,"10'10""",10,6.76,4.2
Cody Core,WR,Mississippi,"6'3""",205,,,,4.47,,31.5,"9'11""",14,,
Corey Coleman,WR,Baylor,"5'11""",194,9,30.25,,4.42,,40.5,"10'9""",17,,
D.J. Foster,WR,Arizona State,"5'10""",193,9.25,30.5,,4.57,,35.5,"9'9""",14,6.75,4.07
De'Runnya Wilson,WR,Mississippi State,"6'5""",224,,,,4.85,,28,"9'5""",,,
Demarcus Ayers,WR,Houston,"5'9""",182,9.25,31.25,,4.72,,33,"10'3""",,,
Demarcus Robinson,WR,Florida,"6'1""",203,9.5,33,,4.59,,34.5,"10'3""",,6.77,4.19
Devon Cajuste,WR,Stanford,"6'4""",234,10.75,33,,4.62,,36,"10'3""",12,6.49,4.2
Duke Williams,WR,Auburn,"6'2""",229,,,,4.72,,30,"10'1""",14,7.43,4.47
Geronimo Allison,WR,Illinois,"6'3""",196,9.5,32.88,,4.67,,33,"10'7""",,7.4,4.28
Hunter Sharp,WR,Utah State,"5'11""",198,9.38,31.63,,4.58,,32.5,"9'8""",12,7.12,4.19
Jalin Marshall,WR,Ohio State,"5'10""",200,9.63,31.5,,4.6,,37.5,"10'5""",16,6.8,4.13
Johnny Holton,WR,Cincinnati,"6'1""",190,9.88,32.88,,4.54,,31.5,"10'3""",8,,
Jordan Payton,WR,UCLA,"6'1""",207,10.13,32.5,,4.47,,34.5,"10'1""",,7.08,4.33
Josh Doctson,WR,TCU,"6'2""",202,9.88,31.88,,4.5,,41,"10'11""",14,6.84,4.08
Kenny Lawler,WR,California,"6'2""",203,10.5,33.38,,4.64,,31,"9'3""",,7.13,4.2
Keyarris Garrett,WR,Tulsa,"6'3""",220,9,34.5,,4.53,,36.5,"10'8""",14,7.3,4.33
Kolby Listenbee,WR,TCU,"6'0""",197,8.25,31.38,,4.39,,35.5,"10'9""",15,,
Laquon Treadwell,WR,Mississippi,"6'2""",221,9.5,33.38,,4.52,,33,"9'9""",12,,
Leonte Carroo,WR,Rutgers,"6'0""",211,9.63,31.38,,4.5,,35.5,"10'0""",14,,
Malcolm Mitchell,WR,Georgia,"6'0""",198,10.5,32.63,,4.45,,36,"10'9""",15,6.94,4.34
Marquez North,WR,Tennessee,"6'2""",223,10.25,33.38,,4.48,,35,"10'3""",17,6.9,4.13
Mekale McKay,WR,Cincinnati,"6'4""",207,9.5,30.63,,4.55,,35,"10'3""",12,7.08,4.63
Michael Thomas,WR,Ohio State,"6'3""",212,10.5,32.13,,4.57,,35,"10'6""",18,6.8,4.13
Nelson Spruce,WR,Colorado,"6'1""",206,10,30,,4.69,,35,"9'6""",12,7.09,4.2
Pharoh Cooper,WR,South Carolina,"5'11""",203,9.13,32.25,,4.52,,31,"9'7""",15,,
Rashard Higgins,WR,Colorado State,"6'1""",196,9.75,32.25,,4.64,,32,"9'8""",13,,
Rashawn Scott,WR,Miami (FL),"6'1""",199,9.38,31.38,,4.54,,32.5,"9'8""",17,,
Ricardo Louis,WR,Auburn,"6'2""",215,9.5,32.38,,4.43,,38,"11'0""",18,,
Roger Lewis,WR,Bowling Green,"6'0""",201,9.75,32,,4.57,,33.5,"9'8""",8,,
Sterling Shepard,WR,Oklahoma,"5'10""",194,9.75,30.38,,4.48,,41,"10'3""",20,7,4.35
Tajae Sharpe,WR,Massachusetts,"6'2""",194,8.38,32.25,,4.55,,33.5,"9'6""",11,,
Trevor Davis,WR,California,"6'1""",188,10,31,,4.42,,38.5,"10'4""",11,6.6,4.22
Tyler Boyd,WR,Pittsburgh,"6'1""",197,9.75,32,,4.58,,34,"9'11""",11,6.9,4.35
Will Fuller,WR,Notre Dame,"6'0""",186,8.25,30.75,,4.32,,33.5,"10'6""",10,6.93,4.27
