Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Allen Lazard,WR,Iowa State,"6'5""",227,,,,4.55,,38,"10'2""",17,,
Anthony Miller,WR,Memphis,"5'11""",201,,,,,,,,22,,
Antonio Callaway,WR,Florida,"5'11""",200,,,,4.41,,34,"10'1""",,,
Auden Tate,WR,Florida State,"6'5""",228,,,,4.68,,31,"9'4""",,,
Braxton Berrios,WR,Miami (FL),"5'9""",184,,,,,,,,11,,
Byron Pringle,WR,Kansas State,"6'1""",203,,,,4.46,,33.5,"10'0""",15,6.87,4.4
Calvin Ridley,WR,Alabama,"6'0""",189,,,,4.43,,31,"9'2""",15,6.88,4.41
Cam Phillips,WR,Virginia Tech,"6'0""",201,,,,,,,,,,
Cedrick Wilson,WR,Boise State,"6'2""",197,,,,4.55,,37,"10'1""",9,6.89,4.23
Chris Lacy,WR,Oklahoma State,"6'3""",205,,,,4.51,,33.5,"10'0""",11,,
Christian Kirk,WR,Texas A&M,"5'10""",201,,,,4.47,,35.5,"9'7""",20,7.09,4.45
Courtland Sutton,WR,SMU,"6'3""",218,,,,4.54,,35.5,"10'4""",18,6.57,4.11
D.J. Chark,WR,LSU,"6'3""",199,,,,4.34,,40,"10'9""",16,,
D.J. Moore,WR,Maryland,"6'0""",210,,,,4.42,,39.5,"11'0""",15,6.95,4.07
Daesean Hamilton,WR,Penn State,"6'1""",203,,,,,,34.5,"9'10""",,6.84,4.15
Dante Pettis,WR,Washington,"6'0""",186,,,,,,,,,,
Darren Carrington II,WR,Utah,"6'2""",199,,,,,,36,"10'0""",,,
Davon Grayson,WR,East Carolina,"6'1""",199,,,,4.51,,34.5,"10'4""",19,,
Deon Cain,WR,Clemson,"6'2""",202,,,,4.43,,33.5,"9'7""",11,6.71,4.37
Deontay Burnett,WR,USC,"6'0""",186,,,,,,,,,,
Dylan Cantrell,WR,Texas Tech,"6'3""",226,,,,4.59,,38.5,"10'10""",18,6.56,4.03
Equanimeous St. brown,WR,Notre Dame,"6'5""",214,,,,4.48,,,,20,,
Jake Wieneke,WR,South Dakota State,"6'4""",221,,,,4.67,,34,"9'6""",9,7.24,4.37
Jaleel Scott,WR,New Mexico State,"6'5""",218,,,,4.56,,34.5,"10'4""",16,7.2,4.4
James Washington,WR,Oklahoma State,"5'11""",213,,,,4.54,,34.5,"10'0""",14,7.11,4.32
Javon Wims,WR,Georgia,"6'3""",215,,,,4.53,,33.5,"9'5""",,7,
Jester Weah,WR,Pittsburgh,"6'2""",211,,,,4.43,,38,"10'9""",15,7.24,4.41
Jmon Moore,WR,Missouri,"6'3""",207,,,,4.6,,38,"10'0""",21,6.56,4.04
Jordan Lasley,WR,UCLA,"6'1""",203,,,,4.5,,34.5,"9'4""",8,,4.19
Karaun White,WR,West Virginia,"6'1""",206,,,,4.52,,33.5,"9'10""",24,7.16,4.57
Keke Coutee,WR,Texas Tech,"5'10""",181,,,,4.43,,34.5,"9'5""",14,6.93,4.15
Korey Robertson,WR,Southern Miss,"6'1""",212,,,,4.56,,34,"10'3""",13,,
Marcell Ateman,WR,Oklahoma State,"6'4""",216,,,,4.62,,34,"10'1""",13,7.07,4.25
Marquez Valdes-Scantling,WR,South Florida,"6'4""",206,,,,4.37,,30.5,"10'4""",15,,
Michael Gallup,WR,Colorado State,"6'1""",205,,,,4.51,,36,"10'2""",10,6.95,4.37
Quadree Henderson,WR,Pittsburgh,"5'8""",192,,,,4.5,,32.5,"10'0""",12,6.89,4.28
Ray-ray McCloud,WR,Clemson,"5'9""",190,,,,4.53,,34.5,"9'5""",13,,
Richie James,WR,Middle Tennessee State,"5'10""",183,,,,4.48,,35.5,"10'2""",6,6.87,4.16
Robert Foster,WR,Alabama,"6'2""",196,,,,4.41,,31,"9'8""",,6.9,4.2
Simmie Cobbs,WR,Indiana,"6'3""",220,,,,4.64,,30,"9'5""",11,6.7,4.32
Steven Mitchell,WR,USC,"5'10""",189,,,,4.56,,32.5,"10'1""",13,6.75,4.4
Tavares Martin,WR,Washington State,"6'1""",177,,,,4.8,,31.5,,,,
Trequan Smith,WR,Central Florida,"6'2""",203,,,,4.49,,37.5,"10'10""",12,6.97,4.5
Trey Quinn,WR,SMU,"5'11""",203,,,,4.55,,33.5,"9'8""",17,6.91,4.19
