Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Adonai Mitchell,WR,Texas,"6'2""",205,,,,4.34,,39.5,"11'4""",,,
Ainias Smith,WR,Texas A&M,"5'9""",190,,,,,,,,21,,
Anthony Gould,WR,Oregon St.,"5'8""",174,,,,4.39,,39.5,"10'9""",,,4.16
Brenden Rice,WR,USC,"6'2""",208,,,,4.5,,36.5,"9'11""",13,,
Brian Thomas,WR,LSU,"6'3""",209,,,,4.33,,38.5,"10'6""",11,,
Bub Means,WR,Pittsburgh,"6'1""",212,,,,4.43,,39.5,"10'2""",19,,
Cornelius Johnson,WR,Michigan,"6'3""",212,,,,4.44,,37.5,"10'7""",,,
Devaughn Vele,WR,Utah,"6'4""",203,,,,4.47,,36,"10'6""",,,
Devontez Walker,WR,North Carolina,"6'2""",193,,,,4.36,,40.5,"11'2""",,,
Isaiah Williams,WR,Illinois,"5'9""",182,,,,4.63,,38,"10'3""",17,6.75,
Ja'Lynn Polk,WR,Washington,"6'1""",203,,,,4.52,,37.5,"10'9""",,,
Jacob Cowing,WR,Arizona,"5'8""",168,,,,4.38,,36,"9'11""",,7.02,4.32
Jalen Coker,WR,Holy Cross,"6'1""",208,,,,4.57,,42.5,"10'8""",,,
Jalen McMillan,WR,Washington,"6'1""",197,,,,4.47,,37,"10'7""",,6.94,4.18
Jamari Thrash,WR,Louisville,"6'0""",188,,,,4.46,,34,"10'0""",,7.16,
Javon Baker,WR,Central Florida,"6'1""",202,,,,4.54,,37,"10'1""",,,
Jermaine Burton,WR,Alabama,"6'0""",196,,,,4.45,,38.5,"11'1""",,,
Jha'Quan Jackson,WR,Tulane,"5'9""",188,,,,4.42,,32,"9'10""",12,,
Johnny Wilson,WR,Florida St.,"6'6""",231,,,,4.52,,37,"10'8""",,,4.11
Jordan Whittington,WR,Texas,"6'1""",205,,,,,,,,18,,
Keon Coleman,WR,Florida St.,"6'3""",213,,,,4.61,,38,"10'7""",,,
Ladd McConkey,WR,Georgia,"6'0""",186,,,,4.39,,36,"10'4""",13,,
Lideatrick Griffin,WR,Mississippi St.,"5'10""",181,,,,4.43,,35.5,"10'4""",,7,4.35
Luke McCaffrey,WR,Rice,"6'2""",198,,,,4.46,,36,"10'1""",,6.7,4.02
Malachi Corley,WR,Western Kentucky,"5'11""",215,,,,,,,,,,
Malik Nabers,WR,LSU,"6'0""",200,,,,,,,,,,
Malik Washington,WR,Virginia,"5'9""",191,,,,4.47,,42.5,"10'6""",19,,
Marcus Rosemy-Jacksaint,WR,Georgia,"6'1""",195,,,,,,35,"9'11""",,,
Marvin Harrison,WR,Ohio St.,"6'3""",209,,,,,,,,,,
Ricky Pearsall,WR,Florida,"6'1""",189,,,,4.41,,42,"10'9""",17,6.64,4.05
Roman Wilson,WR,Michigan,"5'11""",185,,,,4.39,,,,12,,
Rome Odunze,WR,Washington,"6'3""",212,,,,4.45,,39,"10'4""",,6.88,4.03
Ryan Flournoy,WR,Southeast Missouri St.,"6'1""",202,,,,4.44,,39.5,"11'0""",19,,
Tahj Washington,WR,USC,"5'10""",174,,,,,,35,"10'2""",,,
Tayvion Robinson,WR,Kentucky,"5'11""",191,,,,,,,,,,
Troy Franklin,WR,Oregon,"6'2""",176,,,,4.41,,39,"10'4""",,6.9,4.31
Xavier Legette,WR,South Carolina,"6'1""",221,,,,4.39,,40,"10'6""",,,
Xavier Weaver,WR,Colorado,"6'0""",169,,,,,,,,,,
Xavier Worthy,WR,Texas,"5'11""",165,,,,4.21,,41,"10'11""",,,
