Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Andrew Armstrong,WR,Arkansas,"6'3 3/4""",202,9.625,32.125,79.5,4.51,1.53,37.5,"10'4""",11,6.97,4.18
Antwane Wells Jr.,WR,Mississippi,"6'1""",201,,,,4.58,,34,"10'4""",,,
Arian Smith,WR,Georgia,"6'0 1/8""",179,9,31.25,77,4.36,1.51,38,"10'7""",,6.82,4.19
Beaux Collins,WR,Notre Dame,"6'3""",201,,,,,,,,,,
Bru McCoy,WR,Tennessee,"6'3""",209,,,,,,,,,,
Chimere Dike,WR,Florida,"6'0 5/8""",196,9.125,32.125,76.875,4.34,1.51,38.5,"10'8""",,6.82,4.27
Cleveland Harris,WR,Mississippi,"6'2""",205,,,,4.54,,38.5,"10'5""",,,
Da'Quan Felton,WR,Virginia Tech,"6'4 3/4""",213,9,32.25,79.125,4.5,1.52,32.5,"10'2""",16,7.1,4.3
Daniel Jackson,WR,Minnesota,"5'11""",193,,,,,,,,,6.78,4.07
Dominic Lovett,WR,Georgia,"5'10""",185,9.25,31.375,75.625,4.4,1.53,33.5,"10'0""",,,4.27
Dont'e Thornton Jr.,WR,Tennessee,"6'4 5/8""",205,9.625,32.125,79,4.3,1.51,33,"10'6""",,,
Elic Ayomanor,WR,Stanford,"6'1 3/4""",206,10,32.375,78.375,4.44,1.58,38.5,"10'7""",,,
Elijhah Badger,WR,Florida,"6'1""",200,,,,4.43,,35.5,,,,
Emeka Egbuka,WR,Ohio St.,"6'0 7/8""",202,9.625,31.5,76.625,,,,,,,
Isaac TeSlaa,WR,Arkansas,"6'3 5/8""",214,10,31.125,76.75,4.43,1.51,39.5,"10'9""",17,6.85,4.05
Isaiah Bond,WR,Texas,"5'10 5/8""",180,8.5,30.5,75.5,4.39,1.51,,,,,
Isaiah Neyor,WR,Nebraska,"6'4 1/4""",218,9.5,34.375,82.625,4.4,1.51,38,"11'1""",,,
Ja'Corey Brooks,WR,Louisville,"6'2""",184,,,,,,,,,,
Jack Bech,WR,TCU,"6'1""",214,,,,,,34.5,"10'5""",19,6.84,4.21
Jacolby George,WR,Miami,"5'11""",172,,,,,,32.5,"10'0""",,6.77,
Jalen Royals,WR,Utah St.,"6'0""",205,9.5,30.125,73.75,4.42,1.49,,,13,,
Jayden Higgins,WR,Iowa St.,"6'4 1/8""",214,9.125,33.125,80,4.47,1.53,39,"10'8""",,,
Jaylin Lane,WR,Virginia Tech,"5'9 3/4""",191,9.875,31.75,77.25,4.34,1.5,40,"11'0""",14,6.75,4.12
Jaylin Noel,WR,Iowa St.,"5'10 1/4""",194,8.75,29.5,73.75,4.39,1.51,41.5,"11'2""",23,6.82,4.17
Jimmy Horn Jr.,WR,Colorado,"5'8 1/8""",174,8.75,30.375,74.5,4.46,1.54,38,"10'8""",,,4.41
Jordan Watkins,WR,Mississippi,"5'11 1/4""",196,9.125,29.375,72.5,4.37,1.53,36.5,"9'11""",,,
Josh Kelly,WR,Texas Tech,"6'1""",186,,,,4.7,,33,"10'1""",,7.02,
Joshua Lane,WR,Virginia Tech,"5'10""",191,,,,4.34,,40,"11'0""",14,6.75,4.12
Kaden Prather,WR,Maryland,"6'4""",204,,,,4.46,,30,"9'6""",,,
KeAndre Lambert-Smith,WR,Auburn,"6'0 3/4""",190,9.125,32.625,78.625,4.37,1.53,34.5,"10'4""",,,
Kobe Hudson,WR,Central Florida,"6'1""",193,,,,4.57,,35,"10'2""",,,
Konata Mumpfield,WR,Pittsburgh,"5'11""",186,,,,4.59,,36,"10'4""",,,
Kyle Williams,WR,Washington St.,"5'10 5/8""",190,8.75,30.125,73,4.4,1.55,36.5,"9'11""",,,
LaJohntay Wester,WR,Colorado,"5'10""",163,,,,4.46,,32,"10'1""",,,
Luther Burden III,WR,Missouri,"6'0""",206,8.5,31.25,76.5,4.41,1.54,,,,,
Matthew Golden,WR,Texas,"5'11""",191,9.5,30.625,76.375,4.29,1.49,,,,,
Nick Nash,WR,San Jose St.,"6'3""",203,,,,4.57,,34,"10'3""",,,
Pat Bryant,WR,Illinois,"6'2""",204,,,,4.61,,37.5,"10'4""",,,
Ricky White III,WR,UNLV,"6'1""",184,,,,4.61,,36,"10'3""",,,
Roc Taylor,WR,Memphis,"6'2""",213,,,,4.49,,30.5,"10'2""",,,
Sam Brown Jr.,WR,Miami,"6'2 1/4""",200,9.375,31.625,77.875,4.44,1.52,41.5,,,,
Savion Williams,WR,TCU,"6'3 7/8""",222,10.25,32.5,80.875,4.48,1.52,,,,,
Tai Felton,WR,Maryland,"6'1 1/8""",183,9,30,72.375,4.37,1.51,39.5,"10'10""",,,
Tetairoa McMillan,WR,Arizona,"6'4 1/8""",219,10,31.5,77.875,,,,,,,
Tez Johnson,WR,Oregon,"5'9 7/8""",154,9,29.375,73.75,4.51,1.53,37,"10'11""",,6.65,4.15
Theo Wease,WR,Missouri,"6'3""",200,,,,4.56,,31,"9'9""",,,
Tory Horton,WR,Colorado St.,"6'2 1/2""",196,9,30.625,77,4.41,1.53,37.5,,,,
Traeshon Holden,WR,Oregon,"6'2""",205,,,,4.57,,32,"10'3""",,,
Travis Hunter,WR,Colorado,"6'0""",188,,,,,,,,,,
Tre Harris,WR,Ole Miss,"6'2 3/8""",205,9.625,31.875,78.25,4.54,1.56,38.5,"10'5""",,,
Xavier Restrepo,WR,Miami,"5'10""",209,,,,,,,,17,,
