"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (MIA)","87","137","1,479","17.0","75","27","12","22","151","1","0","16","284.5","17.8","88.7%"
"2","DeAndre Hopkins (KC)","115","163","1,572","13.7","49","23","11","1","-7","0","2","16","276.0","17.3","70.1%"
"3","Davante Adams (NYJ)","111","169","1,386","12.5","57","18","13","0","0","0","0","15","274.1","18.3","85.5%"
"4","Antonio Brown (FA)","104","168","1,297","12.5","78","17","15","0","0","0","0","15","271.7","18.1","1.0%"
"5","Julio Jones (FA)","113","170","1,677","14.8","58","24","8","2","12","0","2","16","269.4","16.8","1.0%"
"6","Michael Thomas (FA)","125","147","1,405","11.2","72","17","9","0","0","0","2","16","253.0","15.8","0.7%"
"7","Adam Thielen (CAR)","113","153","1,373","12.2","68","17","9","5","30","0","1","16","250.8","15.7","55.9%"
"8","JuJu Smith-Schuster (KC)","111","166","1,426","12.8","97","18","7","1","13","0","1","16","241.4","15.1","4.2%"
"9","Mike Evans (TB)","86","138","1,524","17.7","72","26","8","0","0","0","1","16","241.4","15.1","93.0%"
"10","Robert Woods (HOU)","86","130","1,219","14.2","39","20","6","19","157","1","0","16","222.6","13.9","0.7%"
"11","Stefon Diggs (HOU)","102","149","1,021","10.0","75","13","9","10","62","0","0","15","215.3","14.4","43.0%"
"12","Keenan Allen (CHI)","97","136","1,196","12.3","54","13","6","9","75","0","1","16","211.6","13.2","71.2%"
"13","Brandin Cooks (DAL)","80","117","1,204","15.1","57","22","5","10","68","1","0","16","203.2","12.7","14.6%"
"14","T.Y. Hilton (FA)","76","120","1,270","16.7","68","22","6","0","0","0","0","14","201.0","14.4","1.6%"
"15","Tyler Lockett (SEA)","57","70","965","16.9","52","17","10","13","69","0","0","16","193.9","12.1","40.1%"
"16","Odell Beckham Jr. (FA)","77","124","1,052","13.7","51","17","6","5","19","0","1","12","191.9","16.0","1.8%"
"17","Tyler Boyd (TEN)","76","108","1,028","13.5","49","21","7","2","3","0","0","14","183.1","13.1","2.8%"
"18","Amari Cooper (BUF)","75","107","1,005","13.4","90","10","7","2","20","0","2","15","178.0","11.9","71.3%"
"19","Jarvis Landry (FA)","81","149","976","12.0","51","13","4","3","60","1","1","16","176.6","11.0","7.1%"
"20","Calvin Ridley (TEN)","64","92","821","12.8","75","11","10","6","27","0","1","16","174.8","10.9","72.6%"
"21","Kenny Golladay (FA)","70","119","1,063","15.2","60","19","5","1","8","0","0","15","172.1","11.5","4.0%"
