feature,importance
OVERALL_PICK,0.09930622039161932
career_avg_avoided_tackles,0.02907763587701239
career_avg_grades_pass_route,0.027329602278713668
career_avg_grades_offense,0.023372795878268432
career_avg_yards,0.022736129666505664
career_sum_yards_after_catch,0.02273499182979029
career_max_route_rate,0.018104193568346198
career_avg_yards_after_catch,0.017861142404357877
career_avg_targeted_qb_rating,0.017457784925462565
career_sum_first_downs,0.017024892479644057
career_max_avoided_tackles,0.016952469678252105
career_max_yprr,0.016378568648361135
career_avg_receptions,0.016270590613282752
career_avg_wide_snaps,0.016074468112837588
career_avg_touchdowns,0.01592655791171105
career_avg_routes,0.015640832285148034
career_sum_wide_snaps,0.015247021857595364
career_avg_yprr,0.014882229570626168
career_avg_yards_per_reception,0.014264022590777331
career_max_grades_pass_route,0.013360475083720381
career_avg_wide_rate,0.013229146003830275
career_max_team_yard_share,0.013159918864617386
career_max_grades_offense,0.012804586495521674
career_avg_contested_receptions,0.012470403043253305
career_sum_receptions,0.012467021782962608
career_avg_slot_rate,0.012239987108529976
career_sum_yards,0.012154277659186506
career_avg_team_yard_share,0.011731251067978383
career_sum_touchdowns,0.011709650482364248
career_avg_team_target_share,0.011634877037433775
career_avg_targets,0.010802024518642848
career_sum_targets,0.010760405108080162
career_max_wide_rate,0.010615875343532843
career_max_slot_rate,0.010223700896464212
career_avg_avg_depth_of_target,0.010085393308249034
career_avg_grades_hands_drop,0.009900619312866977
career_sum_slot_snaps,0.009558548447417424
career_avg_caught_percent,0.00942806006955622
career_avg_route_rate,0.009218696051896553
career_max_top_teammate_yard_share,0.00908715376984549
career_avg_contested_catch_rate,0.008428362408216315
career_avg_drop_rate,0.00841226264976409
career_max_yards_per_reception,0.008346567134522422
career_avg_contested_targets,0.00832998926990043
career_max_first_downs,0.008156004787547206
career_max_team_target_share,0.008067896929903407
career_max_yards_after_catch_per_reception,0.007865082064116301
career_max_drop_rate,0.007801122451575817
final_team_target_share,0.00727357772072856
career_max_targeted_qb_rating,0.007202351089042266
career_max_grades_hands_drop,0.007136091509245092
final_top_teammate_yard_share,0.0070514475904014055
career_avg_grades_hands_fumble,0.006993594295793542
career_max_avg_depth_of_target,0.006916410053608884
career_avg_yards_after_catch_per_reception,0.006908661140485645
career_avg_player_game_count,0.0068404688291849565
career_avg_drops,0.006818531383271963
career_avg_top_teammate_target_share_when_dominant,0.006714012879652391
career_avg_team_yard_share_with_dominant_teammate,0.0064108156614759515
career_sum_routes,0.006385432639513709
career_sum_contested_targets,0.006373794284635965
final_team_yard_share,0.006023798341189948
career_max_grades_hands_fumble,0.0060072113234607115
career_max_team_target_share_with_dominant_teammate,0.005814687278128906
final_top_teammate_target_share,0.005724913732785589
career_avg_top_teammate_target_share,0.0057163481985078885
career_max_top_teammate_target_share,0.005651329515124436
career_sum_contested_receptions,0.00564002170640418
career_avg_team_target_share_with_dominant_teammate,0.00558443673818414
career_avg_inline_rate,0.005454208796606583
career_max_longest,0.005293749099291131
WEIGHT,0.005158026332248684
HEIGHT,0.005136315864356788
career_sum_pass_plays,0.005084446295327455
career_max_caught_percent,0.0050522764801492264
final_teammate_500yd_count,0.00487747310720944
career_avg_top_teammate_yard_share,0.004819447049903479
career_max_team_yard_share_with_dominant_teammate,0.00476768093791892
career_sum_drops,0.004758214952420756
career_max_contested_catch_rate,0.004713160693293076
career_avg_top_teammate_yard_share_when_dominant,0.004576023245498115
career_sum_player_game_count,0.004455825095536735
career_max_grades_pass_block,0.004356596811900067
breakout_900yd_season_index,0.004186659089366344
career_avg_grades_pass_block,0.0039856808083397425
breakout_100target_season_index,0.0035028384607385193
career_max_inline_rate,0.0033276595330165243
career_avg_pass_block_rate,0.0031366690766219986
final_season,0.0025729757071399893
career_sum_fumbles,0.0024848832812374164
career_sum_inline_snaps,0.0024208573075068305
peak_yprr_season_index,0.0023852519497970398
peak_yards_season_index,0.002252082149913895
college_seasons_played,0.0021488534929314314
breakout_700yd_season_index,0.001990848756816817
career_max_pass_block_rate,0.0019855332693301995
breakout_8td_season_index,0.0018642125836581614
career_max_teammate_500yd_count,0.0018062419057945978
career_max_inline_snaps,0.001731691997572588
peak_targets_season_index,0.0017175599797332691
career_sum_pass_blocks,0.0017023215186405924
career_seasons_with_dominant_teammate,0.0016823101925643928
final_team_target_rank,0.0016452148942739664
final_teammate_800yd_count,0.0013854647517099255
final_team_yard_rank,0.0011450108498785273
first_breakout_season_index,0.0010606136490781213
career_best_team_target_rank,0.0010085321066920683
career_max_teammate_800yd_count,0.0008184481518851017
breakout_2yprr_season_index,0.0007687587129776403
early_breakout_flag,0.0006592505024516408
final_teammate_20pct_target_share_count,0.0006522265952536198
final_season_with_dominant_teammate,0.00057615337321322
career_max_teammate_20pct_target_share_count,0.000517286393168355
career_best_team_yard_rank,0.0004950185664027328
