"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","128","184","1,809","14.1","64","28","8","4","24","1","0","17","304.6","17.9","97.4%"
"2","Davante Adams (NYJ)","100","180","1,516","15.2","60","24","14","3","-1","0","0","17","285.5","16.8","85.5%"
"3","Tyreek Hill (MIA)","119","170","1,710","14.4","64","25","7","7","32","1","0","17","281.7","16.6","88.7%"
"4","Stefon Diggs (HOU)","110","156","1,455","13.2","53","17","11","1","-3","0","0","17","266.2","15.7","43.0%"
"5","A.J. Brown (PHI)","88","145","1,496","17.0","78","23","11","0","0","0","2","17","255.6","15.0","96.1%"
"6","CeeDee Lamb (DAL)","107","156","1,359","12.7","39","24","9","10","47","0","0","17","248.1","14.6","82.6%"
"7","Jaylen Waddle (MIA)","75","117","1,356","18.1","84","21","8","3","26","0","1","17","221.7","13.0","74.9%"
"8","Amon-Ra St. Brown (DET)","106","146","1,161","11.0","49","11","6","9","95","0","0","16","214.6","13.4","96.9%"
"9","Amari Cooper (BUF)","78","132","1,160","14.9","55","18","9","0","0","0","0","17","208.0","12.2","71.3%"
"10","DeVonta Smith (PHI)","95","136","1,196","12.6","45","18","7","0","0","0","1","17","207.1","12.2","87.3%"
"11","Christian Kirk (JAC)","84","133","1,108","13.2","49","18","8","5","11","0","1","17","199.9","11.8","27.4%"
"12","Ja'Marr Chase (CIN)","87","134","1,046","12.0","60","13","9","5","8","0","2","13","198.9","15.3","92.4%"
"13","Tyler Lockett (SEA)","84","117","1,033","12.3","40","14","9","0","0","0","2","16","195.3","12.2","40.1%"
"14","Terry McLaurin (WAS)","77","120","1,191","15.5","52","16","5","7","29","0","0","17","190.5","11.2","88.6%"
"15","Brandon Aiyuk (SF)","78","114","1,015","13.0","54","17","8","2","23","0","1","17","188.8","11.1","36.6%"
"16","Mike Evans (TB)","77","127","1,124","14.6","63","19","6","0","0","0","0","15","186.9","12.5","93.0%"
"17","Tee Higgins (CIN)","75","110","1,042","13.9","59","14","7","0","0","0","0","15","185.7","12.4","80.9%"
"18","DK Metcalf (SEA)","90","141","1,048","11.6","54","11","6","0","0","0","2","17","181.8","10.7","81.4%"
"19","Garrett Wilson (NYJ)","83","147","1,103","13.3","60","13","4","4","4","0","1","17","174.2","10.2","85.8%"
"20","Chris Godwin (TB)","104","142","1,023","9.8","44","10","3","3","5","0","2","15","170.8","11.4","40.5%"
