player_id,player,1_position,1_franchise_id,2_position,2_franchise_id,3_position,3_franchise_id,4_position,4_franchise_id,5_position,5_franchise_id,6_position,6_franchise_id,7_position,7_franchise_id,career_Season_range,final_team_name,career_sum_player_game_count,career_avg_player_game_count,career_avg_avg_depth_of_target,career_max_avg_depth_of_target,career_avg_avoided_tackles,career_max_avoided_tackles,career_avg_caught_percent,career_max_caught_percent,career_avg_contested_catch_rate,career_max_contested_catch_rate,career_sum_contested_receptions,career_avg_contested_receptions,career_sum_contested_targets,career_avg_contested_targets,career_avg_drop_rate,career_max_drop_rate,career_sum_drops,career_avg_drops,career_sum_first_downs,career_max_first_downs,career_sum_fumbles,career_avg_grades_hands_drop,career_max_grades_hands_drop,career_avg_grades_hands_fumble,career_max_grades_hands_fumble,career_avg_grades_offense,career_max_grades_offense,career_avg_grades_pass_block,career_max_grades_pass_block,career_avg_grades_pass_route,career_max_grades_pass_route,career_avg_inline_rate,career_max_inline_rate,career_sum_inline_snaps,career_max_inline_snaps,career_max_longest,career_avg_pass_block_rate,career_max_pass_block_rate,career_sum_pass_blocks,career_sum_pass_plays,career_sum_receptions,career_avg_receptions,career_avg_route_rate,career_max_route_rate,career_sum_routes,career_avg_routes,career_avg_slot_rate,career_max_slot_rate,career_sum_slot_snaps,career_avg_targeted_qb_rating,career_max_targeted_qb_rating,career_sum_targets,career_avg_targets,career_sum_touchdowns,career_avg_touchdowns,career_avg_wide_rate,career_max_wide_rate,career_sum_wide_snaps,career_avg_wide_snaps,career_sum_yards,career_avg_yards,career_sum_yards_after_catch,career_avg_yards_after_catch,career_avg_yards_after_catch_per_reception,career_max_yards_after_catch_per_reception,career_avg_yards_per_reception,career_max_yards_per_reception,career_avg_yprr,career_max_yprr
198090,Lotzeir Brooks,WR,103,,,,,,,,,,,,,2025,ALABAMA,14.0,14.0,12.3,12.3,9.0,9.0,64.7,64.7,66.7,66.7,4.0,4.0,6.0,6.0,5.7,5.7,2.0,2.0,20.0,20.0,0.0,74.0,74.0,76.4,76.4,68.0,68.0,,,69.7,69.7,0.4,0.4,1.0,1.0,53.0,0.0,0.0,0.0,258.0,33.0,33.0,95.0,95.0,245.0,245.0,91.5,91.5,236.0,105.2,105.2,51.0,51.0,2.0,2.0,7.0,7.0,18.0,18.0,442.0,442.0,163.0,163.0,4.9,4.9,13.4,13.4,1.8,1.8
198098,Alex Sanchez,WR,108,,,,,,,,,,,,,2025,APP STATE,12.0,12.0,11.8,11.8,2.0,2.0,45.0,45.0,20.0,20.0,1.0,1.0,5.0,5.0,18.2,18.2,2.0,2.0,6.0,6.0,0.0,44.3,44.3,67.5,67.5,54.5,54.5,,,53.1,53.1,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,161.0,9.0,9.0,96.9,96.9,156.0,156.0,13.7,13.7,22.0,75.2,75.2,20.0,20.0,1.0,1.0,86.3,86.3,139.0,139.0,91.0,91.0,19.0,19.0,2.1,2.1,10.1,10.1,0.58,0.58
198107,Isaiah Mizell,WR,109,,,,,,,,,,,,,2025,ARIZONA,11.0,11.0,9.1,9.1,2.0,2.0,50.0,50.0,66.7,66.7,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9,74.9,65.0,65.0,51.2,51.2,,,53.1,53.1,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,87.0,4.0,4.0,88.5,88.5,77.0,77.0,11.5,11.5,10.0,64.1,64.1,8.0,8.0,0.0,0.0,88.5,88.5,77.0,77.0,39.0,39.0,8.0,8.0,2.0,2.0,9.8,9.8,0.51,0.51
198110,Gio Richardson,WR,109,,,,,,,,,,,,,2025,ARIZONA,12.0,12.0,11.7,11.7,0.0,0.0,60.0,60.0,50.0,50.0,3.0,3.0,6.0,6.0,8.7,8.7,2.0,2.0,11.0,11.0,0.0,56.1,56.1,71.1,71.1,68.0,68.0,,,70.2,70.2,0.9,0.9,1.0,1.0,60.0,0.0,0.0,0.0,113.0,21.0,21.0,89.4,89.4,101.0,101.0,89.4,89.4,101.0,94.8,94.8,35.0,35.0,2.0,2.0,9.7,9.7,11.0,11.0,299.0,299.0,129.0,129.0,6.1,6.1,14.2,14.2,2.96,2.96
198147,Sam Turner,WR,115,,,,,,,,,,,,,2025,AUBURN,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,55.3,55.3,,,52.8,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,100.0,100.0,16.0,16.0,0.0,0.0,0.0,39.6,39.6,2.0,2.0,0.0,0.0,100.0,100.0,16.0,16.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
198166,Elisha Durham,WR,117,,,,,,,,,,,,,2025,BALL ST,7.0,7.0,21.6,21.6,0.0,0.0,44.4,44.4,33.3,33.3,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,74.9,74.9,65.0,65.0,60.5,60.5,,,59.9,59.9,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,28.0,4.0,4.0,96.4,96.4,27.0,27.0,14.3,14.3,4.0,54.9,54.9,9.0,9.0,0.0,0.0,85.7,85.7,24.0,24.0,34.0,34.0,3.0,3.0,0.8,0.8,8.5,8.5,1.26,1.26
198198,Jeremiah Scoby,WR,122,,,,,,,,,,,,,2025,BOWL GREEN,3.0,3.0,1.0,1.0,0.0,0.0,100.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,64.3,64.3,65.4,65.4,67.3,67.3,56.1,56.1,66.7,66.7,6.0,6.0,9.0,11.1,11.1,1.0,9.0,1.0,1.0,77.8,77.8,7.0,7.0,11.1,11.1,1.0,104.2,104.2,1.0,1.0,0.0,0.0,22.2,22.2,2.0,2.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,1.29,1.29
198249,Justin Ruffin Jr.,WR,134,,,,,,,,,,,,,2025,C MICHIGAN,8.0,8.0,6.9,6.9,0.0,0.0,77.8,77.8,66.7,66.7,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,78.5,78.5,71.8,71.8,62.8,62.8,,,64.0,64.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,43.0,7.0,7.0,95.3,95.3,41.0,41.0,95.3,95.3,41.0,95.8,95.8,9.0,9.0,0.0,0.0,4.7,4.7,2.0,2.0,63.0,63.0,11.0,11.0,1.6,1.6,9.0,9.0,1.54,1.54
198256,KD Hunter-Gibson,WR,136,,,,,,,,,,,,,2025,CHARLOTTE,3.0,3.0,14.0,14.0,0.0,0.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,70.7,70.7,62.9,62.9,76.3,76.3,,,76.0,76.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,2.0,2.0,100.0,100.0,11.0,11.0,9.1,9.1,1.0,158.3,158.3,2.0,2.0,1.0,1.0,90.9,90.9,10.0,10.0,30.0,30.0,11.0,11.0,5.5,5.5,15.0,15.0,2.73,2.73
198298,Quentin Gibson,WR,143,,,,,,,,,,,,,2025,COLORADO,11.0,11.0,4.7,4.7,6.0,6.0,62.5,62.5,33.3,33.3,1.0,1.0,3.0,3.0,16.7,16.7,3.0,3.0,3.0,3.0,0.0,45.4,45.4,77.7,77.7,55.4,55.4,,,56.8,56.8,4.8,4.8,5.0,5.0,12.0,0.0,0.0,0.0,105.0,15.0,15.0,96.2,96.2,101.0,101.0,87.6,87.6,92.0,49.3,49.3,24.0,24.0,0.0,0.0,7.6,7.6,8.0,8.0,71.0,71.0,75.0,75.0,5.0,5.0,4.7,4.7,0.7,0.7
