Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Aaron Fuller,WR,Washington,"5'11""",188,,,,4.59,,34,"9'10""",,7.14,
Aaron Parker,WR,Rhode Island,"6'2""",209,,,,4.57,,26.5,"9'4""",12,6.94,4.23
Antonio Gandy-Golden,WR,Liberty,"6'4""",223,,,,4.6,,36,"10'7""",22,7.33,4.55
Antonio Gibson,WR,Memphis,"6'0""",228,,,,4.39,,35,"9'10""",16,,
Austin Mack,WR,Ohio State,"6'1""",208,,,,4.59,,31.5,"9'9""",,,4.42
Ben Victor,WR,Ohio State,"6'4""",198,,,,4.6,,35,"10'8""",9,7.1,
Brandon Aiyuk,WR,Arizona State,"6'0""",205,,,,4.5,,40,"10'8""",11,,
Bryan Edwards,WR,South Carolina,"6'3""",212,,,,,,,,,,
CeeDee Lamb,WR,Oklahoma,"6'2""",198,,,,4.5,,34.5,"10'4""",11,,
Chase Claypool,WR,Notre Dame,"6'4""",238,,,,4.42,,40.5,"10'6""",19,,
Chris Finke,WR,Notre Dame,"5'9""",186,,,,4.57,,40,,7,,
Cody White,WR,Michigan State,"6'3""",217,,,,4.66,,35.5,"10'0""",,7.19,4.52
Collin Johnson,WR,Texas,"6'6""",222,,,,,,,,17,,
Darnell Mooney,WR,Tulane,"5'10""",176,,,,4.38,,37,"10'4""",9,,
Darrell Stewart,WR,Michigan State,"6'0""",212,,,,,,35,"9'9""",15,,
Denzel Mims,WR,Baylor,"6'3""",207,,,,4.38,,38.5,"10'11""",16,6.66,4.43
Devin Duvernay,WR,Texas,"5'10""",200,,,,4.39,,35.5,"10'3""",,7.13,4.2
Dezmon Patmon,WR,Washington State,"6'4""",225,,,,4.48,,36,"11'0""",15,7.28,4.38
Donovan Peoples-Jones,WR,Michigan,"6'2""",212,,,,4.48,,44.5,"11'7""",,,
Freddie Swain,WR,Florida,"6'0""",197,,,,4.46,,36.5,"10'4""",16,7.05,4.26
Gabriel Davis,WR,UCF,"6'2""",216,,,,4.54,,35,"10'4""",14,7.08,4.59
Henry Ruggs III,WR,Alabama,"5'11""",188,,,,4.27,,42,"10'11""",,,
Isaiah Coulter,WR,Rhode Island,"6'2""",198,,,,4.45,,36,"10'1""",,7.28,4.62
Isaiah Hodgins,WR,Oregon State,"6'4""",210,,,,4.61,,36.5,"10'4""",9,7.01,4.12
Jalen Reagor,WR,TCU,"5'11""",206,,,,4.47,,42,"11'6""",17,7.31,4.46
James Proche,WR,SMU,"5'11""",201,,,,,,34.5,,20,7.27,4.4
Jauan Jennings,WR,Tennessee,"6'3""",215,,,,4.72,,29,"9'11""",,,
Jeff Thomas,WR,Miami,"5'9""",170,,,,4.45,,36.5,"10'5""",,,
Jerry Jeudy,WR,Alabama,"6'1""",193,,,,4.45,,35,"10'0""",,,4.53
Joe Reed,WR,Virginia,"6'0""",224,,,,4.47,,38,"10'3""",21,,
John Hightower,WR,Boise State,"6'1""",189,,,,4.43,,38.5,"10'2""",,7.07,4.21
Justin Jefferson,WR,LSU,"6'1""",202,,,,4.43,,37.5,"10'6""",,,
Juwan Johnson,WR,Oregon,"6'4""",230,,,,4.58,,33,"10'4""",14,6.94,4.37
K.J. Hill,WR,Ohio State,"6'0""",196,,,,4.6,,32.5,"9'6""",17,,
K.J. Osborn,WR,Miami,"5'11""",203,,,,4.48,,37.5,"10'3""",18,7,4.35
Kalija Lipscomb,WR,Vanderbilt,"6'0""",207,,,,4.57,,32,"10'7""",16,,
Kendrick Rogers,WR,Texas A&M,"6'4""",208,,,,4.51,,35.5,"10'4""",17,7.13,4.48
KJ Hamler,WR,Penn State,"5'9""",178,,,,,,,,15,,
Laviska Shenault Jr.,WR,Colorado,"6'1""",227,,,,4.58,,,,17,,
Lawrence Cager,WR,Georgia,"6'5""",220,,,,,,,,,,
Lynn Bowden,WR,Kentucky,"5'11""",204,,,,,,,,13,,
Malcolm Perry,WR,Navy,"5'9""",186,,,,4.63,,36,"10'2""",10,7.12,4.31
Marquez Callaway,WR,Tennessee,"6'1""",205,,,,4.55,,38,"10'6""",,,
Michael Pittman,WR,USC,"6'4""",223,,,,4.52,,36.5,"10'1""",13,6.96,4.14
Omar Bayless,WR,Arkansas State,"6'1""",212,,,,4.62,,36,"10'3""",11,7.35,4.5
Quartney Davis,WR,Texas A&M,"6'1""",201,,,,4.54,,35.5,,,,
Quez Watkins,WR,Southern Miss,"6'0""",185,,,,4.35,,36.5,"10'5""",,7.28,4.36
Quintez Cephus,WR,Wisconsin,"6'1""",202,,,,4.73,,38.5,"10'4""",23,7.2,4.33
Stephen Guidry,WR,Mississippi State,"6'3""",201,,,,4.47,,34,"10'5""",,7.31,4.46
Tee Higgins,WR,Clemson,"6'4""",216,,,,,,,,,,
Tony Brown,WR,Colorado,"6'1""",198,,,,4.65,,33.5,"9'11""",14,7.21,4.27
Trishton Jackson,WR,Syracuse,"6'1""",197,,,,4.5,,36,"9'9""",,,
Tyler Johnson,WR,Minnesota,"6'1""",206,,,,,,,,,,
Tyrie Cleveland,WR,Florida,"6'2""",209,,,,4.46,,39.5,"10'6""",13,,
Van Jefferson,WR,Florida,"6'1""",200,,,,,,,,,,
