feature,importance
final_teammate_500yd_count,0.0009157895754631267
final_teammate_800yd_count,0.0008559282884466377
final_team_target_rank,0.000835923274294475
final_team_yard_rank,0.0007936907560163954
career_max_teammate_500yd_count,0.0006986932300346568
college_seasons_played,0.00047270645511396614
career_seasons_with_dominant_teammate,0.0004703651924491542
breakout_2yprr_season_index,0.00044867857578746295
final_teammate_20pct_target_share_count,0.00038102502846941883
career_max_teammate_20pct_target_share_count,0.0003221122958074577
career_best_team_target_rank,0.00023842485571719786
career_best_team_yard_rank,0.00016089289277224441
early_breakout_flag,0.00011204334557177833
final_season_with_dominant_teammate,7.63942617661307e-05
