feature_limit,selected_feature_count,evaluation,blend_weight,samples,positive_rate,accuracy,brier,roc_auc,average_precision
20,20,draft_year_backtest_2024,0.25,34,0.20588235294117646,0.9411764705882353,0.0846933032561886,0.9523809523809523,0.9034013605442175
35,35,draft_year_backtest_2024,0.25,34,0.20588235294117646,0.9117647058823529,0.09062821203125775,0.9470899470899471,0.888095238095238
50,50,draft_year_backtest_2024,0.25,34,0.20588235294117646,0.9411764705882353,0.08513607854800789,0.9417989417989419,0.8761904761904762
75,75,draft_year_backtest_2024,0.25,34,0.20588235294117646,0.9117647058823529,0.08936289530850107,0.9470899470899471,0.8626373626373627
1000,156,draft_year_backtest_2024,0.25,34,0.20588235294117646,0.9117647058823529,0.0937559539338104,0.947089947089947,0.8809523809523809
20,20,random_split,0.25,61,0.22950819672131148,0.8360655737704918,0.11963328317750015,0.878419452887538,0.7246257542976118
35,35,random_split,0.25,61,0.22950819672131148,0.819672131147541,0.12283338876073154,0.8723404255319149,0.7050780740998133
50,50,random_split,0.25,61,0.22950819672131148,0.819672131147541,0.1266460348231522,0.8601823708206686,0.6635247073670719
75,75,random_split,0.25,61,0.22950819672131148,0.819672131147541,0.12539487092463672,0.8601823708206686,0.666687255321709
1000,156,random_split,0.25,61,0.22950819672131148,0.8524590163934426,0.12207549070857876,0.8768996960486322,0.7043006768938446
