Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Alec Pierce,WR,Cincinnati,"6'3""",211,,,,4.41,,40.5,"10'9""",,7.13,4.28
Bo Melton,WR,Rutgers,"5'11""",189,,,,4.34,,38,"10'1""",,6.98,
Braylon Sanders,WR,Mississippi,"6'0""",194,,,,4.48,,34.5,"10'1""",,,
Calvin Austin,WR,Memphis,"5'8""",170,,,,4.32,,39,"11'3""",,6.65,4.07
Charleston Rambo,WR,Miami,"6'1""",177,,,,4.57,,33.5,"9'10""",,,
Chris Olave,WR,Ohio St.,"6'0""",187,,,,4.39,,32,"10'4""",,,
Christian Watson,WR,North Dakota St.,"6'4""",208,,,,4.36,,38.5,"11'4""",,,
Dai'Jean Dixon,WR,Nicholls St.,"6'3""",205,,,,4.62,,34,"10'5""",,7.28,4.42
Danny Gray,WR,SMU,"6'0""",186,,,,4.33,,34,"10'6""",,,
David Bell,WR,Purdue,"6'1""",212,,,,4.65,,33,"9'10""",,7.14,4.57
Devon Williams,WR,Oregon,"6'5""",210,,,,4.65,,33,"11'1""",,,
Dontario Drummond,WR,Mississippi,"6'1""",215,,,,4.65,,34,"10'2""",,,
Drake London,WR,USC,"6'4""",219,,,,,,,,,,
Erik Ezukanma,WR,Texas Tech,"6'2""",209,,,,,,36.5,"10'6""",,,4.38
Garrett Wilson,WR,Ohio St.,"6'0""",183,,,,4.38,,36,"10'3""",,,4.36
George Pickens,WR,Georgia,"6'3""",195,,,,4.47,,33,"10'5""",,,
Isaiah Weston,WR,Northern Iowa,"6'4""",214,,,,4.42,,40,"11'3""",20,,
Jahan Dotson,WR,Penn St.,"5'11""",178,,,,4.43,,36,"10'1""",,7.28,
Jalen Nailor,WR,Michigan St.,"5'11""",186,,,,4.5,,38,"10'8""",,7.03,4.28
Jalen Tolbert,WR,South Alabama,"6'1""",194,,,,4.49,,36,"10'3""",,7.08,
Jameson Williams,WR,Alabama,"6'2""",179,,,,,,,,,,
John Metchie,WR,Alabama,"5'11""",187,,,,,,,,,,
Johnny Johnson III,WR,Oregon,"6'0""",197,,,,4.6,,32,"10'1""",,7.21,4.54
Josh Johnson,WR,Tulsa,"5'11""",183,,,,,,,,14,,
Justyn Ross,WR,Clemson,"6'4""",205,,,,,,,,11,,
Kevin Austin Jr.,WR,Notre Dame,"6'2""",200,,,,4.43,,39,"11'0""",,6.71,4.15
Khalil Shakir,WR,Boise St.,"6'0""",196,,,,4.43,,34.5,"10'4""",,7.28,4.21
Kyle Philips,WR,UCLA,"5'11""",189,,,,4.58,,33.5,"10'4""",,,
Makai Polk,WR,Mississippi St.,"6'3""",195,,,,4.59,,31,"9'11""",,,4.36
Mike Woods,WR,Oklahoma,"6'1""",204,,,,4.55,,34.5,"10'5""",,,
Reggie Roberson Jr.,WR,SMU,"5'11""",192,,,,,,29,"9'6""",,,
Romeo Doubs,WR,Nevada,"6'2""",201,,,,,,,,,,
Skyy Moore,WR,Western Michigan,"5'10""",195,,,,4.41,,34.5,"10'5""",,7.13,4.32
Slade Bolden,WR,Alabama,"5'11""",193,,,,4.66,,32,"9'8""",,,
Tré Turner,WR,Virginia Tech,"6'1""",184,,,,4.51,,27,"9'5""",,7.45,4.53
Treylon Burks,WR,Arkansas,"6'2""",225,,,,4.55,,33,"10'2""",,7.28,
Ty Fryfogle,WR,Indiana,"6'1""",204,,,,4.53,,39,"10'7""",,,
Tyquan Thornton,WR,Baylor,"6'2""",181,,,,4.28,,36.5,"10'10""",,,
Velus Jones,WR,Tennessee,"6'0""",204,,,,4.31,,33,"10'1""",,,
Wan'Dale Robinson,WR,Kentucky,"5'8""",178,,,,4.44,,34.5,"9'10""",,,
