"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","127","175","1,708","13.4","70","19","17","3","32","0","0","17","339.5","20.0","92.4%"
"2","Justin Jefferson (MIN)","103","154","1,533","14.9","97","28","10","1","3","0","0","17","266.0","15.6","97.4%"
"3","Amon-Ra St. Brown (DET)","115","141","1,263","11.0","66","14","12","2","6","0","1","17","258.7","15.2","96.9%"
"4","Brian Thomas Jr. (JAC)","87","133","1,282","14.7","85","18","10","6","48","0","0","17","240.5","14.1","82.4%"
"5","Drake London (ATL)","100","158","1,271","12.7","39","12","9","1","-3","0","0","17","230.8","13.6","85.6%"
"6","Terry McLaurin (WAS)","82","117","1,096","13.4","86","12","13","2","2","0","1","17","226.8","13.3","88.6%"
"7","Malik Nabers (NYG)","109","170","1,204","11.0","59","16","7","5","2","0","0","15","219.1","14.6","87.3%"
"8","CeeDee Lamb (DAL)","101","152","1,194","11.8","65","16","6","14","70","0","1","15","212.9","14.2","82.6%"
"9","Mike Evans (TB)","74","110","1,004","13.6","57","15","11","0","0","0","0","14","203.4","14.5","93.0%"
"10","Jaxon Smith-Njigba (SEA)","100","137","1,130","11.3","46","14","6","5","26","0","0","17","203.0","11.9","78.6%"
"11","Garrett Wilson (NYJ)","101","154","1,104","10.9","42","16","7","2","5","0","2","17","201.4","11.8","85.8%"
"12","Ladd McConkey (LAC)","82","112","1,149","14.0","60","15","7","0","0","0","0","16","199.9","12.5","82.8%"
"13","Courtland Sutton (DEN)","81","135","1,081","13.3","47","17","8","0","0","0","1","17","199.8","11.8","81.6%"
"14","Davante Adams (NYJ)","85","141","1,063","12.5","71","16","8","0","0","0","0","14","198.8","14.2","85.5%"
"15","Jerry Jeudy (CLE)","90","145","1,229","13.7","89","13","4","0","0","0","0","17","195.9","11.5","66.4%"
"16","DJ Moore (CHI)","98","140","966","9.9","44","11","6","14","75","0","1","17","189.1","11.1","82.5%"
"17","Tee Higgins (CIN)","73","109","911","12.5","42","12","10","0","0","0","1","12","185.6","15.5","80.9%"
"18","A.J. Brown (PHI)","67","97","1,079","16.1","67","17","7","0","0","0","0","13","183.4","14.1","96.1%"
"19","Jameson Williams (DET)","58","91","1,001","17.3","82","17","7","11","61","1","0","15","183.2","12.2","76.3%"
"20","Jordan Addison (MIN)","63","99","875","13.9","69","13","9","3","20","1","0","15","181.0","12.1","81.8%"
"21","Tyreek Hill (MIA)","81","123","959","11.8","80","13","6","8","53","0","0","17","177.7","10.5","88.7%"
"22","Nico Collins (HOU)","68","99","1,006","14.8","67","14","7","0","0","0","0","12","176.6","14.7","93.4%"
"23","Jakobi Meyers (LV)","87","129","1,027","11.8","43","16","4","2","23","0","0","15","174.5","11.6","66.4%"
"24","Zay Flowers (BAL)","74","116","1,059","14.3","53","19","4","9","56","0","0","17","172.5","10.1","87.6%"
"25","Jauan Jennings (SF)","77","113","975","12.7","45","12","6","0","0","0","0","15","172.0","11.5","63.0%"
"26","Jayden Reed (GB)","55","75","857","15.6","70","15","6","20","163","1","1","17","169.5","10.0","78.6%"
"27","Calvin Ridley (TEN)","64","120","1,017","15.9","63","19","4","8","55","1","1","17","167.2","9.8","72.6%"
"28","Puka Nacua (LAR)","79","106","990","12.5","51","11","3","11","46","1","0","11","167.1","15.2","94.1%"
"29","Marvin Harrison Jr. (ARI)","62","116","885","14.3","60","14","8","0","0","0","1","17","165.5","9.7","86.5%"
"30","DeVonta Smith (PHI)","68","89","833","12.3","49","14","8","1","1","0","0","13","165.4","12.7","87.3%"
"31","Darnell Mooney (ATL)","64","106","992","15.5","49","21","5","0","0","0","0","16","161.2","10.1","61.3%"
"32","DK Metcalf (SEA)","66","108","992","15.0","71","20","5","0","0","0","2","15","158.2","10.5","81.4%"
"33","Xavier Worthy (KC)","59","98","638","10.8","54","4","6","20","104","3","0","17","157.7","9.3","75.9%"
"34","Rashod Bateman (BAL)","45","72","756","16.8","59","11","9","0","0","0","0","17","152.1","8.9","30.2%"
"35","Keenan Allen (CHI)","70","121","744","10.6","45","9","7","0","0","0","0","15","150.4","10.0","71.2%"
"36","Josh Downs (IND)","72","107","803","11.2","69","10","5","1","12","0","0","14","147.5","10.5","56.7%"
"37","Quentin Johnston (LAC)","55","91","711","12.9","66","12","8","3","6","0","0","15","147.2","9.8","46.5%"
