player_id,final_position,final_franchise_id,player,career_Season_range,final_team_name,career_sum_player_game_count,career_avg_player_game_count,career_avg_avg_depth_of_target,career_max_avg_depth_of_target,career_avg_avoided_tackles,career_max_avoided_tackles,career_avg_caught_percent,career_max_caught_percent,career_avg_contested_catch_rate,career_max_contested_catch_rate,career_sum_contested_receptions,career_avg_contested_receptions,career_sum_contested_targets,career_avg_contested_targets,career_avg_drop_rate,career_max_drop_rate,career_sum_drops,career_avg_drops,career_sum_first_downs,career_max_first_downs,career_sum_fumbles,career_avg_grades_hands_drop,career_max_grades_hands_drop,career_avg_grades_hands_fumble,career_max_grades_hands_fumble,career_avg_grades_offense,career_max_grades_offense,career_avg_grades_pass_block,career_max_grades_pass_block,career_avg_grades_pass_route,career_max_grades_pass_route,career_avg_inline_rate,career_max_inline_rate,career_sum_inline_snaps,career_max_inline_snaps,career_max_longest,career_avg_pass_block_rate,career_max_pass_block_rate,career_sum_pass_blocks,career_sum_pass_plays,career_sum_receptions,career_avg_receptions,career_avg_route_rate,career_max_route_rate,career_sum_routes,career_avg_routes,career_avg_slot_rate,career_max_slot_rate,career_sum_slot_snaps,career_avg_targeted_qb_rating,career_max_targeted_qb_rating,career_sum_targets,career_avg_targets,career_sum_touchdowns,career_avg_touchdowns,career_avg_wide_rate,career_max_wide_rate,career_sum_wide_snaps,career_avg_wide_snaps,career_sum_yards,career_avg_yards,career_sum_yards_after_catch,career_avg_yards_after_catch,career_avg_yards_after_catch_per_reception,career_max_yards_after_catch_per_reception,career_avg_yards_per_reception,career_max_yards_per_reception,career_avg_yprr,career_max_yprr,career_fpts_per_game,final_season,AGE_ON_DRAFT_DAY,HEIGHT,WEIGHT,HAND_SIZE,ARM_LENGTH,WINGSPAN,FORTY_TIME,TEN_SPLIT,TWENTY_SPLIT,VERTICAL,BROAD,SHUTTLE,THREE_CONE,BENCH,SPEED,ROUND,SELECTION,OVERALL_PICK,matched_draft_year,draft_match_method,draft_match_score,is_historical_drafted_wr
97318,WR,146.0,Jacob Flynn,2022,UCONN,11.0,11.0,12.9,12.9,0.0,0.0,29.4,29.4,20.0,20.0,1.0,1.0,5.0,5.0,16.7,16.7,1.0,1.0,2.0,2.0,0.0,29.1,29.1,65.7,65.7,46.4,46.4,,,45.9,45.9,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,182.0,5.0,5.0,96.7,96.7,176.0,176.0,22.5,22.5,41.0,34.7,34.7,17.0,17.0,1.0,1.0,77.5,77.5,141.0,141.0,32.0,32.0,3.0,3.0,0.6,0.6,6.4,6.4,0.18,0.18,0.0,2022,,,,,,,,,,,,,,,,,,,,,,False
97320,WR,264.0,Josh Delgado,2019-2022,OREGON,28.0,9.333333333333334,14.0,18.0,0.0,0.0,51.46666666666666,61.1,75.0,100.0,3.0,1.0,4.0,1.3333333333333333,0.0,0.0,0.0,0.0,12.0,9.0,0.0,73.76666666666667,81.5,73.13333333333334,75.6,60.20000000000001,62.2,,,59.333333333333336,64.3,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,204.0,15.0,5.0,97.33333333333331,100.0,196.0,65.33333333333333,70.3,100.0,105.0,71.86666666666666,87.0,26.0,8.666666666666666,0.0,0.0,29.7,64.1,99.0,33.0,195.0,65.0,47.0,15.666666666666666,3.4333333333333336,5.0,12.466666666666669,13.4,0.8933333333333334,1.2,0.0,2022,,,,,,,,,,,,,,,,,,,,,,False
97321,WR,328.0,Ryan Davis,2020-2025,UTAH,51.0,8.5,11.0,13.2,3.333333333333333,12.0,67.36666666666667,76.5,71.125,100.0,19.0,3.1666666666666665,33.0,5.5,4.366666666666667,13.3,8.0,1.3333333333333333,101.0,37.0,2.0,74.51666666666667,85.5,63.183333333333344,70.7,75.58333333333333,83.5,54.25,54.4,76.23333333333333,82.0,0.0,0.0,0.0,0.0,56.0,0.0999999999999999,0.3,2.0,957.0,159.0,26.5,92.5,100.0,882.0,147.0,74.56666666666666,100.0,503.0,85.51666666666667,118.1,231.0,38.5,8.0,1.3333333333333333,25.316666666666663,65.1,451.0,75.16666666666667,2008.0,334.6666666666667,578.0,96.33333333333331,3.633333333333333,5.9,12.9,15.0,2.6583333333333337,4.09,0.0,2025,,,,,,,,,,,,,,,,,,,,,,False
97323,WR,136.0,Quinton Patten,2022,CHARLOTTE,7.0,7.0,8.1,8.1,0.0,0.0,69.2,69.2,100.0,100.0,2.0,2.0,2.0,2.0,10.0,10.0,1.0,1.0,5.0,5.0,0.0,61.0,61.0,67.5,67.5,64.4,64.4,,,60.1,60.1,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,92.0,9.0,9.0,91.3,91.3,84.0,84.0,63.0,63.0,58.0,88.0,88.0,13.0,13.0,0.0,0.0,37.0,37.0,34.0,34.0,88.0,88.0,35.0,35.0,3.9,3.9,9.8,9.8,1.05,1.05,0.0,2022,,,,,,,,,,,,,,,,,,,,,,False
97398,WR,111.0,Khafre Brown,2020-2024,ARKANSAS,39.0,7.8,15.5,20.8,2.0,4.0,54.36,100.0,23.125,80.0,5.0,1.0,16.0,3.2,23.72,75.0,9.0,1.8,28.0,12.0,1.0,47.02,70.7,57.55999999999999,69.2,59.98,81.4,63.8,65.5,60.31999999999999,78.2,0.4,1.2,4.0,3.0,84.0,0.24,0.8,2.0,645.0,49.0,9.8,95.24,100.0,606.0,121.2,4.4,8.0,36.0,97.34,145.4,91.0,18.2,8.0,1.6,95.20000000000002,100.0,605.0,121.0,948.0,189.6,392.0,78.4,18.14,62.0,29.96,75.0,2.114,5.25,0.0,2024,,,,,,,,,,,,,,,,,,,,,,False
97399,WR,210.0,Jamari Thrash,2019-2023,LOUISVILLE,48.0,9.6,14.86,16.8,8.2,17.0,60.17999999999999,66.0,48.5,100.0,14.0,2.8,43.0,8.6,7.720000000000001,11.4,17.0,3.4,115.0,45.0,1.0,65.4,77.3,65.86,75.1,70.82000000000001,80.1,,,71.3,81.5,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,1097.0,167.0,33.4,96.12,100.0,1034.0,206.8,8.48,13.3,115.0,96.98,130.5,260.0,52.0,18.0,3.6,91.52,94.1,982.0,196.4,2601.0,520.2,1057.0,211.4,5.48,7.8,14.46,18.1,2.186,2.94,0.7999999999999999,2023,,,,,,,,,,,,,,,,5.0,21.0,156.0,2024.0,exact,1.0,True
97400,WR,103.0,John Metchie III,2019-2021,ALABAMA,37.0,12.333333333333334,8.866666666666665,12.7,8.666666666666666,20.0,69.96666666666667,75.0,45.95,61.1,15.0,5.0,31.0,10.333333333333334,11.4,16.7,15.0,5.0,85.0,49.0,0.0,61.866666666666674,72.2,72.43333333333334,77.0,69.26666666666667,78.2,,,67.89999999999999,79.5,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,983.0,156.0,52.0,95.7,96.5,938.0,312.6666666666667,23.899999999999995,33.4,284.0,94.03333333333336,138.9,212.0,70.66666666666667,14.0,4.666666666666667,75.83333333333333,87.7,695.0,231.66666666666663,2078.0,692.6666666666666,1017.0,339.0,5.533333333333334,6.7,10.866666666666667,16.7,1.6666666666666667,2.41,2.3666666666666667,2021,,71.0,187.0,,,,,,,,,,,,,2.0,12.0,44.0,2022.0,nosuffix,1.0,True
97402,WR,169.0,Jamal Glaspie,2019-2020,FRESNO ST,14.0,7.0,14.15,16.8,0.5,1.0,58.1,75.0,25.0,50.0,1.0,0.5,3.0,1.5,15.0,30.0,3.0,1.5,7.0,5.0,0.0,49.2,73.1,65.4,66.7,59.8,67.1,,,61.0,67.1,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,116.0,10.0,5.0,89.95,92.4,106.0,53.0,17.85,29.2,13.0,70.0,108.3,21.0,10.5,0.0,0.0,82.15,93.5,103.0,51.5,123.0,61.5,12.0,6.0,0.85,1.7,12.8,14.0,1.475,2.0,0.0,2020,,,,,,,,,,,,,,,,,,,,,,False
97405,WR,260.0,Garrett Wilson,2019-2021,OHIO STATE,33.0,11.0,12.5,13.4,9.666666666666666,19.0,71.36666666666666,74.1,46.76666666666667,61.5,16.0,5.333333333333333,33.0,11.0,6.533333333333334,8.5,11.0,3.6666666666666665,99.0,49.0,0.0,72.60000000000001,80.9,83.23333333333333,84.8,79.26666666666667,84.1,,,80.26666666666667,84.5,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,865.0,143.0,47.66666666666666,93.33333333333331,95.7,810.0,270.0,32.93333333333334,73.4,271.0,140.53333333333333,144.0,202.0,67.33333333333333,23.0,7.666666666666667,67.06666666666668,91.7,594.0,198.0,2213.0,737.6666666666666,739.0,246.3333333333333,4.933333333333334,6.0,15.433333333333335,16.8,2.67,3.04,10.427586206896551,2021,,72.0,183.0,,,,4.38,,,36.0,123.0,4.36,,,,1.0,10.0,10.0,2022.0,exact,1.0,True
97406,WR,113.0,David Clayton,2021,ARK STATE,1.0,1.0,7.0,7.0,0.0,0.0,100.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,66.7,66.7,61.0,61.0,59.3,59.3,,,59.4,59.4,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,0.0,0.0,0.0,116.7,116.7,1.0,1.0,0.0,0.0,100.0,100.0,2.0,2.0,12.0,12.0,5.0,5.0,5.0,5.0,12.0,12.0,6.0,6.0,0.0,2021,,,,,,,,,,,,,,,,,,,,,,False
97410,WR,316.0,Terrel Ferrell,2019,TOLEDO,2.0,2.0,2.0,2.0,1.0,1.0,100.0,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,66.7,66.7,61.0,61.0,66.0,66.0,,,65.0,65.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,1.0,1.0,100.0,100.0,9.0,9.0,0.0,0.0,0.0,118.8,118.8,1.0,1.0,0.0,0.0,100.0,100.0,9.0,9.0,17.0,17.0,15.0,15.0,15.0,15.0,17.0,17.0,1.89,1.89,0.0,2019,,,,,,,,,,,,,,,,,,,,,,False
97422,WR,121.0,Dino Tomlin,2019-2024,BOSTON COL,41.0,8.2,9.8,18.4,1.2,5.0,60.0,100.0,63.8,100.0,7.0,1.4,13.0,2.6,12.22,50.0,5.0,1.0,23.0,11.0,0.0,59.260000000000005,80.9,65.62,72.2,57.620000000000005,69.5,63.9,63.9,57.9,69.7,0.08,0.4,1.0,1.0,52.0,0.08,0.4,1.0,484.0,40.0,8.0,96.32,100.0,456.0,91.2,56.2,89.1,335.0,58.24,95.8,71.0,14.2,0.0,0.0,43.66,73.1,147.0,29.4,552.0,110.4,278.0,55.6,4.48,9.3,11.48,18.1,1.108,1.75,0.0,2024,,,,,,,,,,,,,,,,,,,,,,False
